User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,rate_cnt,user_rate_cnt
11676,0385508042,9,The King Of Torts,John Grisham,2003,Doubleday Books,89,3642
11676,0743206045,8,Daddy'S Little Girl,Mary Higgins Clark,2002,Simon & Schuster,53,3642
11676,1558744150,10,Chicken Soup For The Woman'S Soul (Chicken Soup For The Soul Series (Paper)),Jack Canfield,1996,Health Communications,66,3642
11676,0316777722,10,Me Talk Pretty One Day,David Sedaris,2000,"Little, Brown",57,3642
11676,0064400557,9,Charlotte'S Web (Trophy Newbery),E. B. White,1974,HarperTrophy,68,3642
11676,0679734775,9,The House On Mango Street (Vintage Contemporaries),SANDRA CISNEROS,1991,Vintage,62,3642
11676,0345435168,3,Open House (Oprah'S Book Club (Paperback)),Elizabeth Berg,2001,Ballantine Books,63,3642
11676,0142004235,10,East Of Eden (Oprah'S Book Club),John Steinbeck,2003,Penguin Books,69,3642
11676,0375707972,9,The Reader,Bernhard Schlink,1999,Vintage Books USA,145,3642
11676,1400031354,8,Tears Of The Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,Anchor,95,3642
11676,0380018179,6,The Thorn Birds,Colleen McCullough,1978,Avon,73,3642
11676,0380731851,6,Mystic River,Dennis Lehane,2002,HarperTorch,104,3642
11676,042516098X,5,Hornet'S Nest,Patricia Daniels Cornwell,1998,Berkley Publishing Group,64,3642
11676,0553579754,8,Fear Nothing,DEAN KOONTZ,1998,Bantam,62,3642
11676,0743225406,10,The Shipping News : A Novel,Annie Proulx,2001,Scribner,69,3642
11676,0061015725,6,Prey,Michael Crichton,2003,Avon Books,77,3642
11676,0449005615,10,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,120,3642
11676,0385484518,9,"Tuesdays With Morrie: An Old Man, A Young Man, And Life'S Greatest Lesson",MITCH ALBOM,1997,Doubleday,200,3642
11676,0553272535,10,Night,Elie Wiesel,1982,Bantam Books,92,3642
11676,0380789019,7,Neverwhere,Neil Gaiman,1998,Avon,126,3642
11676,0446672211,10,Where The Heart Is (Oprah'S Book Club (Paperback)),Billie Letts,1998,Warner Books,295,3642
11676,0446675059,8,The Honk And Holler Opening Soon,Billie Letts,1999,Warner Books,50,3642
11676,0440226430,7,Summer Sisters,Judy Blume,1999,Dell Publishing Company,214,3642
11676,0452269571,9,Bastard Out Of Carolina,Dorothy Allison,1993,Plume Books,63,3642
11676,0671510053,9,Shipping News,Annie Proulx,1994,Scribner,150,3642
11676,0440225701,8,The Street Lawyer,JOHN GRISHAM,1999,Dell,133,3642
11676,0452283205,7,Falling Angels,Tracy Chevalier,2002,Plume Books,68,3642
11676,0743237188,6,Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,2002,Touchstone,127,3642
11676,0515136379,7,Key Of Knowledge (Key Trilogy (Paperback)),Nora Roberts,2003,Jove Books,50,3642
11676,0515136530,10,"Key Of Valor (Roberts, Nora. Key Trilogy, 3.)",Nora Roberts,2003,Jove Pubns,51,3642
11676,0767905385,10,Catch Me If You Can: The True Story Of A Real Fake,Stan Redding,2000,Broadway,69,3642
11676,0316789089,8,The Pilot'S Wife : A Novel Tag: Author Of The Weight Of Water (Oprah'S Book Club (Hardcover)),Anita Shreve,1999,"Little, Brown",65,3642
11676,0684874350,7,Angela'S Ashes,Frank McCourt,1996,Scribner,132,3642
11676,0786881852,6,Don'T Sweat The Small Stuff And It'S All Small Stuff : Simple Ways To Keep The Little Things From Taking Over Your Life (Don'T Sweat The Small Stuff Series),Richard Carlson,1997,Hyperion,100,3642
11676,1558745157,10,The Lost Boy: A Foster Child'S Search For The Love Of A Family,Dave Pelzer,1997,Health Communications,70,3642
11676,067976402X,10,Snow Falling On Cedars,David Guterson,1995,Vintage Books USA,256,3642
11676,0446670251,8,The Virgin Suicides,Jeffrey Eugenides,1994,Warner Books,90,3642
11676,0449006522,8,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books,51,3642
11676,0449219364,7,G Is For Gumshoe (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1991,Fawcett Books,60,3642
11676,0671001795,10,Two For The Dough,Janet Evanovich,1996,Pocket,112,3642
11676,0316569321,10,White Oleander : A Novel,Janet Fitch,1999,"Little, Brown",120,3642
11676,0446605239,6,The Notebook,Nicholas Sparks,1998,Warner Books,206,3642
11676,0385472951,10,The Partner,John Grisham,1997,Doubleday Books,58,3642
11676,0375727345,7,House Of Sand And Fog,Andre Dubus III,2000,Vintage Books,229,3642
11676,0060958022,3,Five Quarters Of The Orange,Joanne Harris,2002,Perennial,67,3642
11676,0345337662,6,Interview With The Vampire,Anne Rice,1993,Ballantine Books,230,3642
11676,059035342X,10,Harry Potter And The Sorcerer'S Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books,313,3642
11676,0142000205,8,Icy Sparks,Gwyn Hyman Rubio,2001,Penguin Books,129,3642
11676,044022103X,8,One True Thing,Anna Quindlen,1995,Dell,50,3642
11676,014025448X,10,At Home In Mitford (The Mitford Years),Jan Karon,1996,Viking Books,83,3642
11676,0671003755,1,She'S Come Undone (Oprah'S Book Club (Paperback)),Wally Lamb,1996,Washington Square Press,207,3642
11676,051513287X,10,Face The Fire (Three Sisters Island Trilogy),Nora Roberts,2002,Jove Books,89,3642
11676,0312265859,10,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2002,St. Martin's Press,52,3642
11676,0439064872,8,Harry Potter And The Chamber Of Secrets (Book 2),J. K. Rowling,2000,Scholastic,189,3642
11676,0439136369,9,Harry Potter And The Prisoner Of Azkaban (Book 3),J. K. Rowling,2001,Scholastic,133,3642
11676,0439139600,10,Harry Potter And The Goblet Of Fire (Book 4),J. K. Rowling,2002,Scholastic Paperbacks,110,3642
11676,080410753X,8,The Kitchen God'S Wife,Amy Tan,1992,Ivy Books,98,3642
11676,0394820371,10,The Phantom Tollbooth,Norton Juster,1993,Yearling Books,58,3642
11676,0425182878,9,Chosen Prey,John Sandford,2004,Berkley Publishing Group,59,3642
11676,0440221595,7,The Glass Lake,Maeve Binchy,1996,Dell,56,3642
11676,0446610038,10,1St To Die: A Novel,James Patterson,2002,Warner Vision,177,3642
11676,0449003787,7,"\O\"" Is For Outlaw""",SUE GRAFTON,2001,Ballantine Books,66,3642
11676,0671028375,10,Fatal Voyage,Kathy Reichs,2002,Pocket,51,3642
11676,0446612545,6,The Beach House,James Patterson,2003,Warner Books,104,3642
11676,0312983867,4,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2003,St. Martin's Paperbacks,70,3642
11676,0440224624,7,The Loop,Nicholas Evans,1999,Dell Publishing Company,57,3642
11676,0060987561,9,I Know This Much Is True,Wally Lamb,1999,Regan Books,94,3642
11676,014028009X,8,Bridget Jones'S Diary,Helen Fielding,1999,Penguin Books,131,3642
11676,0316096199,10,Lucky : A Memoir,Alice Sebold,2002,Back Bay Books,133,3642
11676,0671038184,4,Jewel,Bret Lott,1999,Washington Square Press,82,3642
11676,0446609404,5,Cradle And All,James Patterson,2001,Warner Vision,63,3642
11676,0312995423,7,Digital Fortress : A Thriller,Dan Brown,2003,St. Martin's Press,91,3642
11676,0671014196,8,The Summerhouse,Jude Deveraux,2002,Pocket,65,3642
11676,155874262X,7,Chicken Soup For The Soul (Chicken Soup For The Soul),Jack Canfield,1993,Health Communications,95,3642
11676,0440211263,8,Circle Of Friends,Maeve Binchy,1991,Dell,80,3642
11676,0452264464,8,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,79,3642
11676,0553582747,7,From The Corner Of His Eye,Dean Koontz,2001,Bantam Books,72,3642
11676,0385720106,8,A Map Of The World,Jane Hamilton,1999,Anchor Books/Doubleday,111,3642
11676,0425163407,8,Unnatural Exposure,Patricia Daniels Cornwell,1998,Berkley Publishing Group,72,3642
11676,0060987103,9,Wicked: The Life And Times Of The Wicked Witch Of The West,Gregory Maguire,1996,Regan Books,156,3642
11676,0151008116,6,Life Of Pi,Yann Martel,2002,Harcourt,94,3642
11676,0804111359,6,Secret History,DONNA TARTT,1993,Ballantine Books,67,3642
11676,0439064864,10,Harry Potter And The Chamber Of Secrets (Book 2),J. K. Rowling,1999,Scholastic,126,3642
11676,0439139597,8,Harry Potter And The Goblet Of Fire (Book 4),J. K. Rowling,2000,Scholastic,137,3642
11676,0451526341,10,Animal Farm,George Orwell,2004,Signet,92,3642
11676,0590353403,8,Harry Potter And The Sorcerer'S Stone (Book 1),J. K. Rowling,1998,Scholastic,119,3642
11676,006101351X,8,The Perfect Storm : A True Story Of Men Against The Sea,Sebastian Junger,1998,HarperTorch,118,3642
11676,0842329129,9,Left Behind: A Novel Of The Earth'S Last Days (Left Behind No. 1),Tim Lahaye,1996,Tyndale House Publishers,155,3642
11676,0312278586,6,The Nanny Diaries: A Novel,Emma McLaughlin,2002,St. Martin's Press,226,3642
11676,055356451X,9,Night Sins,TAMI HOAG,1995,Bantam,56,3642
11676,0345313860,8,"The Vampire Lestat (Vampire Chronicles, Book Ii)",ANNE RICE,1986,Ballantine Books,143,3642
11676,0446364193,8,Along Came A Spider (Alex Cross Novels),James Patterson,1993,Warner Books,116,3642
11676,0399144463,5,Who Moved My Cheese? An Amazing Way To Deal With Change In Your Work And In Your Life,Spencer Johnson,1998,Putnam Pub Group (Paper),90,3642
11676,0140293248,5,The Girls' Guide To Hunting And Fishing,Melissa Bank,2000,Penguin Books,165,3642
11676,0446610399,10,The Rescue,Nicholas Sparks,2001,Warner Books,89,3642
11676,0316693006,10,Four Blind Mice,James Patterson,2002,"Little, Brown",59,3642
11676,0316969443,7,Suzanne'S Diary For Nicholas,James Patterson,2001,"Little, Brown",79,3642
11676,0385505833,8,Skipping Christmas,JOHN GRISHAM,2001,Doubleday,120,3642
11676,0446531332,9,Nights In Rodanthe,Nicholas Sparks,2002,Warner Books,65,3642
11676,0743211383,8,Dreamcatcher,Stephen King,2001,Scribner,57,3642
11676,0440219078,7,The Giver (21St Century Reference),LOIS LOWRY,1994,Laure Leaf,101,3642
11676,0805062971,10,Fight Club,Chuck Palahniuk,1999,Owl Books,50,3642
11676,055321313X,7,Anne Of Green Gables (Anne Of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1982,Bantam Classics,53,3642
11676,039592720X,8,Interpreter Of Maladies,Jhumpa Lahiri,1999,Houghton Mifflin Co,74,3642
11676,0440215625,8,Dragonfly In Amber,DIANA GABALDON,1993,Dell,70,3642
11676,0345384466,9,The Witching Hour (Lives Of The Mayfair Witches),ANNE RICE,1993,Ballantine Books,97,3642
11676,0671027344,8,The Perks Of Being A Wallflower,Stephen Chbosky,1999,MTV,65,3642
11676,0515135062,9,Three Fates,Nora Roberts,2004,Jove Books,61,3642
11676,0451169530,5,The Stand: Complete And Uncut,Stephen King,1991,Signet Book,70,3642
11676,0553296981,7,Anne Frank: The Diary Of A Young Girl,ANNE FRANK,1993,Bantam,77,3642
11676,0385335482,10,Confessions Of A Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001,Delta,163,3642
11676,0441003257,7,Good Omens,Neil Gaiman,1996,Ace Books,87,3642
11676,0375702709,7,A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,1997,Vintage Books USA,83,3642
11676,0786885688,9,Shopgirl,Steve Martin,2001,Hyperion,70,3642
11676,0375726403,7,Empire Falls,Richard Russo,2002,Vintage Books USA,145,3642
11676,0767902521,8,A Walk In The Woods: Rediscovering America On The Appalachian Trail (Official Guides To The Appalachian Trail),Bill Bryson,1999,Broadway Books,106,3642
11676,0385493800,8,The Testament,John Grisham,1999,Doubleday Books,54,3642
11676,0070212570,7,Fried Green Tomatoes At The Whistle Stop Cafe,Fannie Flagg,1989,McGraw-Hill,86,3642
11676,0312243022,7,The Hours : A Novel,Michael Cunningham,2000,Picador,73,3642
11676,0375703055,7,Ellen Foster,Kaye Gibbons,1997,Vintage Books,73,3642
11676,0743418174,8,Good In Bed,Jennifer Weiner,2002,Washington Square Press,236,3642
11676,0440224675,8,Hannibal,Thomas Harris,2000,Dell Publishing Company,101,3642
11676,0345378490,9,Congo,Michael Crichton,1995,Ballantine Books,98,3642
11676,0449912558,10,The Sparrow,MARY DORIA RUSSELL,1997,Fawcett Books,50,3642
11676,0894805770,10,What To Expect The First Year,Arlene Eisenberg,1989,Workman Publishing,51,3642
11676,0345438329,6,Big Stone Gap: A Novel (Ballantine Reader'S Circle),Adriana Trigiani,2001,Ballantine Books,92,3642
11676,0688177751,8,Miss Julia Speaks Her Mind : A Novel,Ann B. Ross,2000,Perennial,57,3642
11676,0345417623,10,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,195,3642
11676,0380727501,7,Notes From A Small Island,Bill Bryson,1997,Perennial,50,3642
11676,0385512104,9,The Curious Incident Of The Dog In The Night-Time (Today Show Book Club #13),Mark Haddon,2003,Doubleday,54,3642
11676,0062502182,10,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1995,HarperSanFrancisco,105,3642
11676,0060175400,10,The Poisonwood Bible,Barbara Kingsolver,1999,HarperCollins,78,3642
11676,0684848783,6,Tis : A Memoir,Frank McCourt,1999,Scribner,77,3642
11676,0345370775,8,Jurassic Park,Michael Crichton,1999,Ballantine Books,200,3642
11676,034540288X,10,The Lost World,Michael Crichton,1996,Ballantine Books,97,3642
11676,0425167313,8,Here On Earth,Alice Hoffman,1998,Berkley Publishing Group,71,3642
11676,0609610597,6,"The Shelters Of Stone (Earth'S Children Series, No 5)",JEAN M. AUEL,2002,Crown,58,3642
11676,0316182540,9,White Oleander : A Novel,Janet Fitch,2001,"Little, Brown",52,3642
11676,0449212602,10,The Handmaid'S Tale,Margaret Atwood,1989,Fawcett Books,111,3642
11676,0385511612,10,Bleachers,John Grisham,2003,Doubleday,74,3642
11676,0553280341,10,B Is For Burglar (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1986,Bantam,83,3642
11676,0553375407,10,Ishmael: An Adventure Of The Mind And Spirit,Daniel Quinn,1995,Bantam,94,3642
11676,038082101X,8,Daughter Of Fortune: A Novel,Isabel Allende,2001,HarperTorch,53,3642
11676,0345378482,7,The Andromeda Strain,MICHAEL CRICHTON,1992,Ballantine Books,70,3642
11676,0786868716,9,The Five People You Meet In Heaven,Mitch Albom,2003,Hyperion,242,3642
11676,0812550706,9,Ender'S Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994,Tor Books,117,3642
11676,0060922532,8,Pigs In Heaven,Barbara Kingsolver,1994,Perennial,53,3642
11676,0446604666,10,Sick Puppy,Carl Hiaasen,2001,Warner Vision,73,3642
11676,0449221482,7,J Is For Judgment,Sue Grafton,1999,Fawcett Books,55,3642
11676,0140298479,3,Bridget Jones: The Edge Of Reason,Helen Fielding,2001,Penguin Books,113,3642
11676,1573229326,7,How To Be Good,Nick Hornby,2002,Riverhead Books,104,3642
11676,0060987529,8,Confessions Of An Ugly Stepsister : A Novel,Gregory Maguire,2000,Regan Books,99,3642
11676,0671004573,10,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket,58,3642
11676,0385335830,8,Diary Of A Mad Bride (Summer Display Opportunity),Laura Wolf,2002,Delta,51,3642
11676,0375727132,8,The Dive From Clausen'S Pier : A Novel (Vintage Contemporaries (Paperback)),ANN PACKER,2003,Vintage,52,3642
11676,0446532231,7,"Dude, Where'S My Country?",Michael Moore,2003,Warner Books,89,3642
11676,0312291639,9,The Nanny Diaries: A Novel,Emma McLaughlin,2003,St. Martin's Griffin,167,3642
11676,0380002930,5,Watership Down,Richard Adams,1976,Avon,100,3642
11676,0440221471,9,The Runaway Jury,JOHN GRISHAM,1997,Dell,152,3642
11676,0440236673,8,The Brethren,John Grisham,2000,Island,150,3642
11676,0446612790,8,2Nd Chance,James Patterson,2003,Warner Vision,90,3642
11676,0553582526,9,Dust To Dust,TAMI HOAG,2002,Bantam,50,3642
11676,0425147622,5,The Body Farm,Patricia Daniels Cornwell,1995,Berkley Publishing Group,81,3642
11676,0312265867,8,To The Nines: A Stephanie Plum Novel,Janet Evanovich,2003,St. Martin's Press,57,3642
11676,1844262553,8,Free,Paul Vincent,2003,Upfront Publishing,50,3642
11676,0345465083,7,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books,62,3642
11676,0385474016,10,"Like Water For Chocolate: A Novel In Monthly Installments With Recipes, Romances And Home Remedies",Laura Esquivel,1994,Anchor Books/Doubleday,59,3642
11676,080213825X,3,Four Blondes,Candace Bushnell,2001,Grove Press,54,3642
11676,0375412824,9,The Dive From Clausen'S Pier (Alex Awards),ANN PACKER,2002,Knopf,55,3642
11676,0743411250,8,The Woman Next Door,Barbara Delinsky,2002,Pocket,51,3642
11676,0446611867,8,A Bend In The Road,Nicholas Sparks,2002,Warner Books,109,3642
11676,0441790348,8,Stranger In A Strange Land (Remembering Tomorrow),Robert A. Heinlein,1995,ACE Charter,72,3642
11676,0345361792,10,A Prayer For Owen Meany,John Irving,1990,Ballantine Books,181,3642
11676,0312305060,9,The Hours: A Novel,Michael Cunningham,2002,Picador,129,3642
11676,0446601241,9,Kiss The Girls,James Patterson,1995,Warner Books,81,3642
11676,0385265700,7,The Book Of Ruth (Oprah'S Book Club (Paperback)),Jane Hamilton,1990,Anchor,115,3642
11676,044021145X,1,The Firm,John Grisham,1992,Bantam Dell Publishing Group,208,3642
11676,0440998050,10,A Wrinkle In Time,Madeleine L'Engle,1976,Laure Leaf,77,3642
11676,080410526X,6,All I Really Need To Know,ROBERT FULGHUM,1989,Ivy Books,93,3642
11676,0684872153,9,Angela'S Ashes (Mmp) : A Memoir,Frank McCourt,1999,Scribner,136,3642
11676,0671042858,10,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket,95,3642
11676,0440234743,9,The Testament,John Grisham,1999,Dell,169,3642
11676,0671027387,10,Deception Point,Dan Brown,2002,Pocket,93,3642
11676,006099486X,10,"The Professor And The Madman: A Tale Of Murder, Insanity, And The Making Of The Oxford English Dictionary",Simon Winchester,1999,Perennial,54,3642
11676,0553268880,10,The Prince Of Tides,Pat Conroy,1987,Bantam Books,76,3642
11676,0385336179,7,Shopaholic Ties The Knot,Sophie Kinsella,2003,Delta,68,3642
11676,044651652X,8,The Bridges Of Madison County,Robert James Waller,1992,Warner Books,152,3642
11676,0440226104,7,Black And Blue,ANNA QUINDLEN,1999,Dell,98,3642
11676,0060502258,8,The Divine Secrets Of The Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,HarperTorch,166,3642
11676,0802130208,3,A Confederacy Of Dunces (Evergreen Book),John Kennedy Toole,1987,Grove Press,69,3642
11676,0060199652,10,Prodigal Summer,Barbara Kingsolver,2000,HarperCollins,60,3642
11676,067102423X,8,Bag Of Bones,Stephen King,1999,Pocket,90,3642
11676,0345384369,6,Intensity,DEAN KOONTZ,1996,Ballantine Books,50,3642
11676,1573225789,10,The Color Of Water: A Black Man'S Tribute To His White Mother,James McBride,1997,Riverhead Books,92,3642
11676,0385479565,10,The Hot Zone,Richard Preston,1995,Anchor,72,3642
11676,034538475X,6,The Tale Of The Body Thief (Vampire Chronicles (Paperback)),Anne Rice,1993,Ballantine Books,90,3642
11676,038079487X,10,What Looks Like Crazy On An Ordinary Day,Pearl Cleage,1998,Perennial,98,3642
11676,0345391055,9,Disclosure,Michael Crichton,1994,Ballantine Books,78,3642
11676,0452282829,10,We Were The Mulvaneys,Joyce Carol Oates,1996,Plume,139,3642
11676,068484477X,4,Stones From The River,Ursula Hegi,1997,Touchstone,125,3642
11676,0374129983,5,The Corrections,Jonathan Franzen,2001,Farrar Straus & Giroux,61,3642
11676,1573227331,5,About A Boy,Nick Hornby,1999,Riverhead Books,54,3642
11676,0066214122,9,Prey: A Novel,Michael Crichton,2002,HarperCollins,91,3642
11676,0375502238,7,Blessings,ANNA QUINDLEN,2002,Random House,56,3642
11676,0399150897,8,Blow Fly: A Scarpetta Novel,Patricia Cornwell,2003,Putnam Publishing Group,58,3642
11676,0671004530,7,On The Street Where You Live,Mary Higgins Clark,2002,Pocket,84,3642
11676,0316781266,5,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books,82,3642
11676,0385722206,9,Balzac And The Little Chinese Seamstress : A Novel,DAI SIJIE,2002,Anchor,129,3642
11676,031242227X,7,Running With Scissors: A Memoir,Augusten Burroughs,2003,Picador USA,76,3642
11676,0451156609,7,The Tommyknockers,Stephen King,1994,Signet Book,75,3642
11676,0440213525,5,The Client,John Grisham,1994,Dell Publishing Company,145,3642
11676,0553277472,7,Zen And The Art Of Motorcycle Maintenance: An Inquiry Into Values,ROBERT PIRSIG,1984,Bantam,75,3642
11676,0515132187,9,The Villa,Nora Roberts,2002,Jove Books,60,3642
11676,0380718332,9,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon,63,3642
11676,0425154092,8,From Potter'S Field,Patricia Daniels Cornwell,1996,Berkley Publishing Group,98,3642
11676,0871136791,8,Cold Mountain,Charles Frazier,1997,Atlantic Monthly Press,78,3642
11676,0060938455,10,Fast Food Nation: The Dark Side Of The All-American Meal,Eric Schlosser,2002,Perennial,154,3642
11676,0316693235,5,Violets Are Blue,James Patterson,2001,"Little, Brown",53,3642
11676,0312976275,7,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2001,St. Martin's Paperbacks,78,3642
11676,0425162443,6,The Rapture Of Canaan,Sheri Reynolds,1997,Berkley Publishing Group,73,3642
11676,0385503822,8,The Summons,John Grisham,2002,Doubleday Books,107,3642
11676,0425180638,9,The Last Precinct,Patricia Cornwell,2001,Berkley Publishing Group,84,3642
11676,0375706771,6,Midwives: A Novel,Chris Bohjalian,1998,Vintage,153,3642
11676,0743467523,8,Dreamcatcher,Stephen King,2003,Pocket,51,3642
11676,0553273914,6,The House Of The Spirits,Isabel Allende,1986,Bantam Books,65,3642
11676,0679751521,9,Midnight In The Garden Of Good And Evil,John Berendt,1999,Vintage Books USA,64,3642
11676,038542017X,8,"Like Water For Chocolate : A Novel In Monthly Installments With Recipes, Romances, And Home Remedies",LAURA ESQUIVEL,1995,Anchor,57,3642
11676,0140067477,8,The Tao Of Pooh,Benjamin Hoff,1983,Penguin Books,101,3642
11676,0312966091,8,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,1998,St. Martin's Paperbacks,95,3642
11676,0380813815,5,"Lamb : The Gospel According To Biff, Christ'S Childhood Pal",Christopher Moore,2003,Perennial,61,3642
11676,0440222656,1,The Horse Whisperer,Nicholas Evans,1996,Dell,140,3642
11676,0670894605,10,The Secret Life Of Bees,Sue Monk Kidd,2002,Viking Books,62,3642
11676,0380710218,8,Postmortem,Patricia Daniels Cornwell,1993,Harper Mass Market Paperbacks (Mm),60,3642
11676,0553284789,4,F Is For Fugitive (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1990,Bantam,52,3642
11676,0316781142,9,The Last Time They Met : A Novel,Anita Shreve,2001,"Little, Brown",60,3642
11676,0553279556,6,E Is For Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1989,Bantam,54,3642
11676,0425192725,9,Q Is For Quarry,Sue Grafton,2003,Berkley Publishing Group,54,3642
11676,0671693816,10,Wifey,Judy Blume,1989,Pocket,56,3642
11676,0767900383,8,Under The Tuscan Sun,Frances Mayes,1997,Broadway,74,3642
11676,034536676X,10,The World According To Garp,John Irving,1994,Ballantine Books,59,3642
11676,0842329218,10,Tribulation Force: The Continuing Drama Of Those Left Behind (Left Behind No. 2),Tim LaHaye,1997,Tyndale House Publishers,86,3642
11676,0064472272,10,"Angus, Thongs And Full-Frontal Snogging: Confessions Of Georgia Nicolson",Louise Rennison,2001,HarperTempest,57,3642
11676,0553279378,8,I Know Why The Caged Bird Sings,MAYA ANGELOU,1983,Bantam,68,3642
11676,0684833395,8,Catch 22,Joseph Heller,1996,Simon & Schuster,53,3642
11676,0446520802,10,The Notebook,Nicholas Sparks,1996,Warner Books,56,3642
